source	type	variable	value	term
Aurum	Medcode	TYPE 1 DIABETES	12363201000006114	Autonomic neuropathy with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12363211000006112	Autonomic neuropathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12363221000006116	Autonomic neuropathy with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12363661000006112	Gastroparesis with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12363671000006118	Gastroparesis co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12363721000006110	Polyneuropathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370271000006116	Disorder of eye with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370281000006118	Disorder of eye co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370361000006118	Erectile dysfunction with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370371000006112	Erectile dysfunction co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370611000006112	Nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370621000006116	Blindness co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370631000006116	Peripheral neuropathy with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370711000006116	Traction retinal detachment with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370721000006112	Traction retinal detachment co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370731000006114	Rubeosis iridis with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370741000006116	Rubeosis iridis co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370791000006112	Retinal ischaemia with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370801000006114	Retinal ischemia with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370811000006112	Retinal ischaemia co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370821000006116	Retinal ischemia co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370871000006116	Retinal oedema with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370881000006116	Retinal edema with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370891000006120	Retinal oedema co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370901000006116	Retinal edema co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370931000006112	Mild nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12370941000006118	Moderate nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12450761000006110	Type I diabetes mellitus with gangrene
Aurum	Medcode	TYPE 1 DIABETES	12489581000006110	Type 1 diabetes mellitus with gangrene
Aurum	Medcode	TYPE 1 DIABETES	12702361000006112	Diabetic cataract associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12702371000006116	Mononeuropathy associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12702381000006118	Diabetic oculopathy due to type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12704941000006116	Neurological disorder associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12704951000006116	Diabetic retinopathy associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12705001000006120	Exudative maculopathy associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	12705071000006112	Gastroparesis due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	1667941000000112	Type I diabetes mellitus with gastroparesis
Aurum	Medcode	TYPE 1 DIABETES	1780311019	Type 1 diabetes mellitus with persistent microalbuminuria
Aurum	Medcode	TYPE 1 DIABETES	197984010	Type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	2288011000000114	Type I diabetes mellitus in remission
Aurum	Medcode	TYPE 1 DIABETES	2288041000000110	Type 1 diabetes mellitus in remission
Aurum	Medcode	TYPE 1 DIABETES	2476117016	Maturity onset diabetes in youth type 1
Aurum	Medcode	TYPE 1 DIABETES	2867421000006114	Insulin dependent diabetes mellitus type 1A
Aurum	Medcode	TYPE 1 DIABETES	2867431000006112	Insulin dependent diabetes mellitus type IA
Aurum	Medcode	TYPE 1 DIABETES	292482014	Diabetes mellitus, juvenile type, with hyperosmolar coma
Aurum	Medcode	TYPE 1 DIABETES	292538019	Type I diabetes mellitus with ulcer
Aurum	Medcode	TYPE 1 DIABETES	292540012	Type 1 diabetes mellitus with ulcer
Aurum	Medcode	TYPE 1 DIABETES	292541011	Type 1 diabetes mellitus with gangrene
Aurum	Medcode	TYPE 1 DIABETES	292543014	Type I diabetes mellitus with gangrene
Aurum	Medcode	TYPE 1 DIABETES	292548017	Type 1 diabetes mellitus - poor control
Aurum	Medcode	TYPE 1 DIABETES	292550013	Type I diabetes mellitus - poor control
Aurum	Medcode	TYPE 1 DIABETES	292551012	Type I diabetes mellitus maturity onset
Aurum	Medcode	TYPE 1 DIABETES	292553010	Type 1 diabetes mellitus maturity onset
Aurum	Medcode	TYPE 1 DIABETES	2949871000006119	Insulin dependent diabetes mellitus type 1B
Aurum	Medcode	TYPE 1 DIABETES	2949881000006116	Insulin dependent diabetes mellitus type IB
Aurum	Medcode	TYPE 1 DIABETES	2949891000006118	Primary autoimmune diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	299601000000114	Gastroparesis with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	306112011	Pre-existing diabetes mellitus, insulin-dependent
Aurum	Medcode	TYPE 1 DIABETES	3253231000006110	Diabetes mellitus type I
Aurum	Medcode	TYPE 1 DIABETES	3253241000006117	Diabetes mellitus type 1
Aurum	Medcode	TYPE 1 DIABETES	3522045015	Hyperosmolarity due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	3526507010	Disorder of nerve co-occurrent and due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	3537388019	Diabetic oculopathy due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	429970018	Unstable type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	429971019	Unstable type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	429972014	Unstable insulin dependent diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	457325013	Type I diabetes mellitus without complication
Aurum	Medcode	TYPE 1 DIABETES	457326014	Type 1 diabetes mellitus without complication
Aurum	Medcode	TYPE 1 DIABETES	457327017	Insulin-dependent diabetes without complication
Aurum	Medcode	TYPE 1 DIABETES	459161015	Type 1 diabetes mellitus with hypoglycaemic coma
Aurum	Medcode	TYPE 1 DIABETES	459162010	Insulin dependent diabetes mellitus with hypoglycaemic coma
Aurum	Medcode	TYPE 1 DIABETES	459163017	Type I diabetes mellitus with hypoglycaemic coma
Aurum	Medcode	TYPE 1 DIABETES	459292011	Type 1 diabetes mellitus with arthropathy
Aurum	Medcode	TYPE 1 DIABETES	459293018	Insulin dependent diabetes mellitus with arthropathy
Aurum	Medcode	TYPE 1 DIABETES	459294012	Type I diabetes mellitus with arthropathy
Aurum	Medcode	TYPE 1 DIABETES	459295013	Type I diabetes mellitus with neuropathic arthropathy
Aurum	Medcode	TYPE 1 DIABETES	459296014	Type 1 diabetes mellitus with neuropathic arthropathy
Aurum	Medcode	TYPE 1 DIABETES	4757991000006116	Type 1 diabetes mellitus with hyperosmolar coma
Aurum	Medcode	TYPE 1 DIABETES	4758061000006110	Insulin-dependent diabetes mellitus with ulcer
Aurum	Medcode	TYPE 1 DIABETES	4758081000006117	Insulin-dependent diabetes mellitus with gangrene
Aurum	Medcode	TYPE 1 DIABETES	4758121000006115	Insulin-dependent diabetes maturity onset
Aurum	Medcode	TYPE 1 DIABETES	479511000000117	Diabetes type 1 review
Aurum	Medcode	TYPE 1 DIABETES	494564012	Type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	5754581000006110	Brittle type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	5754611000006119	Brittle type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	5754621000006110	Labile type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	5933621000006118	Perceived control of insulin-dependent diabetes
Aurum	Medcode	TYPE 1 DIABETES	6030001000006116	Insulin-dependent diabetes without complication
Aurum	Medcode	TYPE 1 DIABETES	6050041000006115	Insulin dependent diabetes mellitus with hypoglycaemic coma
Aurum	Medcode	TYPE 1 DIABETES	6050061000006116	Type I diabetes mellitus with hypoglycemic coma
Aurum	Medcode	TYPE 1 DIABETES	6050071000006111	Insulin dependent diabetes mellitus with hypoglycemic coma
Aurum	Medcode	TYPE 1 DIABETES	6050081000006114	Type 1 diabetes mellitus with hypoglycemic coma
Aurum	Medcode	TYPE 1 DIABETES	6051171000006117	Insulin dependent diabetes mellitus with arthropathy
Aurum	Medcode	TYPE 1 DIABETES	616591000006117	Diabetes mellitus, juvenile +peripheral circulatory disorder
Aurum	Medcode	TYPE 1 DIABETES	616601000006113	Diabetes mellitus, juvenile type, + ophthalmic manifestation
Aurum	Medcode	TYPE 1 DIABETES	616611000006111	Disorder due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	616621000006115	Type 1 diabetes mellitus without complication
Aurum	Medcode	TYPE 1 DIABETES	616641000006110	Diabetes mellitus, juvenile type, with ketoacidosis
Aurum	Medcode	TYPE 1 DIABETES	616651000006112	Diabetes mellitus, juvenile type, with ketoacidotic coma
Aurum	Medcode	TYPE 1 DIABETES	616661000006114	Diabetes mellitus, juvenile type, with renal manifestation
Aurum	Medcode	TYPE 1 DIABETES	616671000006119	Diabetes mellitus, juvenile, + neurological manifestation
Aurum	Medcode	TYPE 1 DIABETES	616681000006116	Diabetes mellitus, juvenile, + other specified manifestation
Aurum	Medcode	TYPE 1 DIABETES	6951081000006112	Ketoacidosis in type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6951091000006110	Diabetes type 1 with ketoacidosis
Aurum	Medcode	TYPE 1 DIABETES	6954991000006112	Exudative maculopathy associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6955501000006113	Persistent proteinuria associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6960431000006119	Diabetic retinopathy associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6960441000006112	Diabetes type 1 with retinopathy
Aurum	Medcode	TYPE 1 DIABETES	6961081000006118	Gangrene associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6961091000006115	Gangrene associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6961101000006114	Diabetes type 1 with gangrene
Aurum	Medcode	TYPE 1 DIABETES	6961901000006111	Disorder associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6962751000006117	Mononeuropathy associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6965561000006116	Ketoacidotic coma in type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6965571000006111	Diabetes mellitus type 1 with ketoacidotic coma
Aurum	Medcode	TYPE 1 DIABETES	6967091000006111	Diabetic oculopathy associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6969521000006113	Persistent microalbuminuria associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6969531000006111	Persistent microalbuminuria associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6970621000006114	Peripheral circulatory disorder associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6970631000006112	Peripheral circulatory disorder associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6971871000006117	Hypoglycaemic coma in type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6971881000006119	Hypoglycemic coma in type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6971891000006116	Hypoglycaemic coma in type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6971901000006117	Hypoglycemic coma in type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6971911000006119	Diabetes type 1 with hypoglycemic coma
Aurum	Medcode	TYPE 1 DIABETES	6971921000006110	Diabetes type 1 with hypoglycaemic coma
Aurum	Medcode	TYPE 1 DIABETES	6972441000006117	Neurological disorder associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6972451000006115	Diabetes type 1 with neurological disorder
Aurum	Medcode	TYPE 1 DIABETES	6979991000006111	Renal disorder associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6980001000006117	Kidney disorder associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6980431000006116	Diabetic cataract associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	6980441000006114	Diabetes type 1 with cataract
Aurum	Medcode	TYPE 1 DIABETES	6986151000006117	Multiple complications of type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7066041000006112	Small vessel disease due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7066051000006114	Diabetes type 1 with small vessel disease
Aurum	Medcode	TYPE 1 DIABETES	7075891000006110	Amyotrophy due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7095251000006110	Hyperosmolality due to uncontrolled type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7098211000006116	Dietary education for type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7098221000006112	Dietary education for type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7098231000006110	Dietary advice for type I diabetes
Aurum	Medcode	TYPE 1 DIABETES	7098241000006117	Dietary advice for type 1 diabetes
Aurum	Medcode	TYPE 1 DIABETES	72651000006114	Unstable insulin dependent diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	72711000006117	Unstable type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	72721000006113	Unstable type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7287611000006113	Type 1 diabetes mellitus uncontrolled
Aurum	Medcode	TYPE 1 DIABETES	7287621000006117	Type I diabetes mellitus uncontrolled
Aurum	Medcode	TYPE 1 DIABETES	7287641000006112	Type 1 diabetes mellitus well controlled
Aurum	Medcode	TYPE 1 DIABETES	7287651000006114	Type I diabetes mellitus well controlled
Aurum	Medcode	TYPE 1 DIABETES	746791000006111	Insulin-dependent diabetes without complication
Aurum	Medcode	TYPE 1 DIABETES	7480691000006118	H/O diabetes mellitus type 1
Aurum	Medcode	TYPE 1 DIABETES	7480701000006118	History of diabetes mellitus type I
Aurum	Medcode	TYPE 1 DIABETES	7480711000006115	History of diabetes mellitus type 1
Aurum	Medcode	TYPE 1 DIABETES	7500191000006118	Maturity onset diabetes of the young, type 1
Aurum	Medcode	TYPE 1 DIABETES	7500221000006113	Pre-existing type 1 diabetes mellitus in pregnancy
Aurum	Medcode	TYPE 1 DIABETES	7500251000006116	Pregnancy and type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7609841000006119	Neuropathy due to unstable diabetes mellitus type 1
Aurum	Medcode	TYPE 1 DIABETES	7609851000006117	Neuropathy due to brittle type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7609881000006113	Retinopathy due to unstable diabetes mellitus type 1
Aurum	Medcode	TYPE 1 DIABETES	7609891000006111	Retinopathy due to brittle type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7696791000006110	Diabetic autonomic neuropathy due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7708051000006112	Gastroparesis due to diabetes mellitus type I
Aurum	Medcode	TYPE 1 DIABETES	7708091000006118	Polyneuropathy due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	771331000006116	Insulin dependent diabetes mellitus with arthropathy
Aurum	Medcode	TYPE 1 DIABETES	771341000006114	Insulin dependent diabetes mellitus with diabetic cataract
Aurum	Medcode	TYPE 1 DIABETES	771351000006111	Insulin dependent diabetes mellitus with gangrene
Aurum	Medcode	TYPE 1 DIABETES	771361000006113	Insulin dependent diabetes mellitus with hypoglycaemic coma
Aurum	Medcode	TYPE 1 DIABETES	771371000006118	Insulin dependent diabetes mellitus with mononeuropathy
Aurum	Medcode	TYPE 1 DIABETES	771381000006115	Insulin dependent diabetes mellitus with multiple complicatn
Aurum	Medcode	TYPE 1 DIABETES	771391000006117	Insulin dependent diabetes mellitus with nephropathy
Aurum	Medcode	TYPE 1 DIABETES	771401000006115	Insulin dependent diabetes mellitus with polyneuropathy
Aurum	Medcode	TYPE 1 DIABETES	771411000006117	Insulin dependent diabetes mellitus with retinopathy
Aurum	Medcode	TYPE 1 DIABETES	771421000006113	Insulin dependent diabetes mellitus with ulcer
Aurum	Medcode	TYPE 1 DIABETES	771481000006112	Insulin-dependent diabetes mellitus with neurological comps
Aurum	Medcode	TYPE 1 DIABETES	771491000006110	Insulin-dependent diabetes mellitus with ophthalmic comps
Aurum	Medcode	TYPE 1 DIABETES	771501000006119	Insulin-dependent diabetes mellitus with renal complications
Aurum	Medcode	TYPE 1 DIABETES	772151000006116	Insulin dependent diabetes maturity onset
Aurum	Medcode	TYPE 1 DIABETES	772161000006119	Insulin dependent diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	772171000006114	Insulin dependent diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	772181000006112	Insulin dependent diabetes mellitus - poor control
Aurum	Medcode	TYPE 1 DIABETES	77727018	Insulin dependent diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7790701000006111	Maternal history of diabetes mellitus type 1
Aurum	Medcode	TYPE 1 DIABETES	7814941000006115	Acidosis due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	787111000006112	IDDM-Insulin dependent diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7966541000006112	Diabetic erectile dysfunction associated with type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7966551000006114	Erectile dysfunction associated with type I diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7969211000006115	Mixed hyperlipidaemia due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	7969221000006111	Mixed hyperlipidemia due to type 1 diabetes mellitus
Aurum	Medcode	TYPE 1 DIABETES	8006221000006115	Microalbuminuria due to type 1 diabetes mellitus
